,Observed,P-value,P-adjust
0,3.5894339810910174,0.6054,0.8777425373134329
1,7.06583868950018,0.0766,0.8777425373134329
2,3.1699558860799604,0.7232,0.8854020979020979
3,2.7443215770985865,0.6558,0.8777425373134329
4,2.7443215770985865,0.6558,0.8777425373134329
5,2.7443215770985865,0.6558,0.8777425373134329
6,1.6955302046741338,0.9192,0.946513680494263
7,3.924332107689163,0.5017,0.8777425373134329
8,6.423479499848538,0.0788,0.8777425373134329
9,2.20819849827402,0.777,0.9003598298985933
10,5.144981632741307,0.2041,0.8777425373134329
11,6.039952443344173,0.1078,0.8777425373134329
12,7.324759798138144,0.0384,0.8777425373134329
13,6.101817885761319,0.1115,0.8777425373134329
14,1.7356157929366296,0.8564,0.9194478527607363
15,1.8380702236478828,0.794,0.902319257837492
16,1.917967586249569,0.8991,0.9386837403216199
17,1.0832185827133922,0.9802,0.9852670878805284
18,1.3279498412580204,0.9768,0.9829787234042554
19,2.043782286361933,0.8078,0.9031140210795272
20,2.1423796488329474,0.9485,0.962804524361949
21,1.083218582713392,0.9802,0.9852670878805284
22,1.4783780833510958,0.8664,0.9239406779661017
23,1.8652621937023168,0.8665,0.9239406779661017
24,3.4502246904363623,0.4515,0.8777425373134329
25,4.257261340955647,0.3522,0.8777425373134329
26,2.409312105574377,0.7328,0.8897836538461539
27,2.4041173264597004,0.7799,0.9003598298985933
28,4.549729407949148,0.4046,0.8777425373134329
29,1.6543344000078368,0.8852,0.9297629762976297
30,3.924332107689163,0.5017,0.8777425373134329
31,1.573353709992205,0.9484,0.962804524361949
32,3.8598641612746047,0.5327,0.8777425373134329
33,3.8598641612746047,0.5327,0.8777425373134329
34,1.7404104560889424,0.9667,0.974776721405935
35,1.7202022218783053,0.9043,0.9414187983343248
36,2.043782286361933,0.8078,0.9031140210795272
37,0.7138657445171186,0.9633,0.972188581314879
38,0.7891231520158474,0.9896,0.992719977070794
39,3.864605851273327,0.5202,0.8777425373134329
40,3.371787485092818,0.6346,0.8777425373134329
41,3.864605851273327,0.5202,0.8777425373134329
42,4.0550409657134034,0.4652,0.8777425373134329
43,3.864605851273327,0.5202,0.8777425373134329
44,4.8383158516702425,0.3099,0.8777425373134329
45,3.957252466179278,0.4953,0.8777425373134329
46,1.1304590807282204,0.8812,0.9292557999397408
47,2.393402103627608,0.786,0.9003598298985933
48,1.877917920196318,0.8493,0.9151939655172414
49,5.76251623281843,0.1125,0.8777425373134329
50,2.393402103627608,0.786,0.9003598298985933
51,1.1304590807282204,0.8812,0.9292557999397408
52,4.0550409657134034,0.4652,0.8777425373134329
53,12.123272387714836,0.0031,0.8777425373134329
54,4.838315851670242,0.3099,0.8777425373134329
55,6.10806018140836,0.0718,0.8777425373134329
56,6.10806018140836,0.0718,0.8777425373134329
57,1.1792523062726592,0.8845,0.9297629762976297
58,0.7989349849407664,0.9589,0.9687103289094057
59,0.6355699486026082,0.9636,0.9722110118189681
60,0.5773399097171892,0.9945,0.9957379862700229
